ticker,shift_days,mse,r2
TSLA,0,0.8713816257742977,-0.03414871543312237
TSLA,1,5.434483810921303,-3.2986967356381998
TSLA,weekly,62.87055222327395,-0.06209613850071971
AUR,weekly,27.99586458109276,0.28986473869619767
GOOG,0,2.0964804535498844,-0.2536803652803339
GOOG,1,1.7891699524320623,0.02130726353169432
GOOG,weekly,14.382935270306866,-0.030842661430387164
GM,0,2.458828846220188,-0.34407245651277085
GM,1,9.256998155729228,-1.286868642516461
GM,weekly,22.05568704906658,-0.06039814661087051
NVDA,0,12.60240691530097,0.0717193349530385
NVDA,1,6.5091314893123435,-0.08362313165214741
NVDA,weekly,31.669993993342135,-0.08759448744291021
APTV,0,3.905757335490327,-0.7440950678896519
APTV,1,3.4789990154979855,-5.262069399239858
APTV,weekly,19.823029975629144,-0.022911227156064307
TSPH,weekly,236.7016426242421,-3.0399994330253017
