ticker,shift_days,mse,r2
TSLA,0,0.9041756397242046,-0.07306838782127567
TSLA,1,5.381369783413712,-3.256683344006664
TSLA,weekly,59.46927739799304,-0.004637109906832748
AUR,weekly,38.998601451664896,0.01077239632511795
GOOG,0,2.808687635364762,-0.6795751826353327
GOOG,1,2.1938546741021283,-0.2000590729193592
GOOG,weekly,14.118953372364558,-0.01192275411452215
GM,0,2.4232452340812225,-0.3246213454471354
GM,1,7.339129289117702,-0.8130742117810494
GM,weekly,21.313593700451715,-0.024719620263772946
NVDA,0,14.39833607070339,-0.06056700700994622
NVDA,1,6.202351264909465,-0.032551164824893286
NVDA,weekly,29.647777453885197,-0.018148577185030046
APTV,0,4.3697758563394435,-0.9513000589085825
APTV,1,3.8616462918434746,-5.950820327087586
APTV,weekly,19.546728980636757,-0.008653498130805293
TSPH,weekly,159.8913247989642,-1.729008782414435
